0,0.044818,0.12549,0,0.032,0,0,0,0,0,0,0.066184,0,0,0,0.016,0,0.14191,0.10293,0,0.086409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023955,0,0,0.002502,0.0060072,0.017487
0.046256,0.019608,0.098039,0,0.014,0.047619,0.028886,0.0063006,0,0.051705,0.08046,0.081696,0.11712,0.021,0.031746,0.007,0.0098039,0.030803,0.18507,0,0.14311,0,0.078899,0.0344,0,0,0,0,0,0,0,0,0,0,0,0,0.01016,0,0,0,0,0,0,0,0,0,0,0,0,0.013536,0,0.011454,0.029985,0.0024207,0.0037349,0.010012,0.064836
0.013216,0,0.13922,0,0.123,0.032313,0.026135,0.010801,0.12167,0.013751,0.14559,0.046536,0.021622,0,0.39683,0.003,0.0084034,0.11331,0.072533,0.017602,0.045905,0,0.21284,0.0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012605,0,0,0.033613,0,0.0028011,0.0027211,0,0,0.0022805,0.014664,0,0.0084981,0.030651,0.00050431,0.0080082,0.048458,0.14255
0,0,0,0,0.063,0,0.042641,0.056706,0.058935,0.034653,0.11877,0.032058,0.055856,0,0,0.0155,0,0,0.1696,0,0.027903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014048,0,0.0042182,0,0,0.0023032,0.0039047,0.011995
0,0,0,0,0.063,0,0.042641,0.056706,0.058935,0.034653,0.11877,0.032058,0.055856,0,0,0.0155,0,0,0.1696,0,0.027903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013843,0,0.0041567,0,0,0.0023032,0.0039047,0.011995
0,0,0,0,0.185,0,0,0.16652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022867,0,0,0,0,0.0018157,0.0014017,0.003346
0,0,0,0,0.192,0,0,0,0,0.035204,0.36782,0.13237,0,0,0,0.048,0,0.035204,0.20533,0,0.057606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055373,0,0.0050496,0.0089955,0,0.00060917,0.00030036,0.0070076
0,0,0,0,0.188,0,0,0.16922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021124,0,0,0,0,0.0013164,0.0010012,0.0030303
0.03304,0,0.090196,0,0.061,0,0.041265,0,0.1749,0.041804,0.29119,0.09514,0,0,0,0,0,0.016502,0.0656,0.19417,0.18002,0,0,0.012,0,0,0,0,0,0,0,0,0.0082508,0,0,0,0,0,0,0,0,0,0.084034,0,0,0,0,0,0,0.027789,0,0.005573,0.033816,0.0011095,0.0079383,0.044453,0.079293
0.013216,0.0084034,0.15098,0,0.019,0.054422,0.05227,0,0.011407,0,0,0.066184,0.045045,0,0.027211,0,0,0.013201,0.089067,0.0033003,0.063906,0,0.034862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.009122,0.0030763,0,0.0075128,0.013493,0,0.00066182,0.004205,0.047222
